Location,chamber #,TL,SL,mass,Ctmin,Ctmax,date,Sample #,Genus,Species,Tax,M/F
AG,1,6.02,5.02,1.836,,38,5/10/18,18914,Ecsenius,pulcher,ECSEPULC,F
AG,2,5.84,4.84,1.804,,38,5/10/18,18915,Ecsenius,pulcher,ECSEPULC,F
AG,3,5.69,4.64,1.742,,38.1,5/10/18,18916,Ecsenius,pulcher,ECSEPULC,F
AG,4,8.06,6.17,2.634,,38.3,5/10/18,18917,Ecsenius,pulcher,ECSEPULC,F
AG,5,3.11,2.64,0.281,,37.6,5/10/18,18918,Ecsenius,pulcher,ECSEPULC,F
AG,6,2.16,1.82,0.112,,36.6,5/10/18,18919,Enneapterygius,ventermaculus,ENNEVENT,F
AG,7,2.13,1.81,0.11,,36.7,5/10/18,18920,Enneapterygius,ventermaculus,ENNEVENT,F
AG,8,2.35,2.02,0.159,,36.9,5/10/18,18921,Enneapterygius,ventermaculus,ENNEVENT,F
AG,9,7.23,5.7,1.986,,37.6,5/10/18,18922,Ecsenius,pulcher,ECSEPULC,F
AG,10,1.97,1.64,0.075,,36.6,5/10/18,18923,Enneapterygius,ventermaculus,ENNEVENT,M
AG,1,3.02,2.48,0.275,12.3,,5/11/18,18936,Coryogalops,anomalus,CORYANOM,
AG,2,2,1.66,0.096,12.8,,5/11/18,18937,Enneapterygius,ventermaculus,ENNEVENT,F
AG,3,7.22,5.78,2.22,10.9,,5/11/18,18938,Ecsenius,pulcher,ECSEPULC,F
AG,4,2.56,2.05,0.178,11.8,,5/11/18,18939,Coryogalops,anomalus,CORYANOM,
AG,5,6.27,5.21,1.806,11,,5/11/18,18940,Ecsenius,pulcher,ECSEPULC,F
AG,6,2.38,2.04,0.137,12.3,,5/11/18,18941,Enneapterygius,ventermaculus,ENNEVENT,F
AG,7,7.07,5.66,2.01,11.1,,5/11/18,18942,Ecsenius,pulcher,ECSEPULC,F
AG,8,6.87,5.16,1.809,10.7,,5/11/18,18943,Ecsenius,pulcher,ECSEPULC,F
AG,9,2.36,1.95,0.123,12.8,,5/11/18,18944,Enneapterygius,ventermaculus,ENNEVENT,F
AG,10,2.18,1.9,0.118,12.7,,5/11/18,18945,Enneapterygius,ventermaculus,ENNEVENT,M
AG,11,2.4,1.96,0.165,11.7,,5/11/18,18946,Coryogalops,anomalus,CORYANOM,
AG,10,7.15,5.72,2.065,11.5,,5/12/18,18956,Ecsenius,pulcher,ECSEPULC,F
AG,11,7.82,5.84,2.193,11.6,,5/12/18,18957,Ecsenius,pulcher,ECSEPULC,F
AG,7,2.04,1.62,0.081,,37.3,5/12/18,18964,Enneapterygius,ventermaculus,ENNEVENT,
AG,8,2.13,1.68,0.098,,37.2,5/12/18,18965,Enneapterygius,ventermaculus,ENNEVENT,
AG,9,2.22,1.82,0.102,,37.3,5/12/18,18966,Enneapterygius,ventermaculus,ENNEVENT,
AG,10,1.92,1.6,0.074,,37,5/12/18,18967,Enneapterygius,ventermaculus,ENNEVENT,
AG,11,1.98,1.61,0.067,,37.2,5/12/18,18968,Enneapterygius,ventermaculus,ENNEVENT,
AG,1,2.33,1.9,0.109,11.8,,5/13/18,18969,Enneapterygius,ventermaculus,ENNEVENT,
AG,2,2.41,2.03,0.124,12,,5/13/18,18970,Enneapterygius,ventermaculus,ENNEVENT,
AG,3,1.81,1.51,0.059,12.2,,5/13/18,18971,Enneapterygius,ventermaculus,ENNEVENT,
AG,4,5.62,4.68,1.372,11.6,,5/13/18,18972,Ecsenius,pulcher,ECSEPULC,
AG,5,2.05,1.71,0.084,12,,5/13/18,18973,Enneapterygius,ventermaculus,ENNEVENT,
AG,6,2.33,1.94,0.138,12.4,,5/13/18,18974,Enneapterygius,ventermaculus,ENNEVENT,
AG,7,2.54,2.14,0.143,11.7,,5/13/18,18975,Ecsenius,pulcher,ECSEPULC,
AG,8,2.22,1.84,0.103,12.3,,5/13/18,18976,Enneapterygius,ventermaculus,ENNEVENT,
AG,9,6.35,5.3,2.001,11.6,,5/13/18,18977,Ecsenius,pulcher,ECSEPULC,
AG,10,5.52,4.44,1.299,11.1,,5/13/18,18978,Ecsenius,pulcher,ECSEPULC,
AG,11,5.91,4.78,1.643,11.7,,5/13/18,18979,Ecsenius,pulcher,ECSEPULC,
AG,1,2.25,1.84,0.099,,37.4,5/13/18,18980,Enneapterygius,ventermaculus,ENNEVENT,
AG,2,2.24,1.83,0.117,,37.3,5/13/18,18981,Enneapterygius,ventermaculus,ENNEVENT,
AG,3,2.42,2,0.131,,38.4,5/13/18,18982,Coryogalops,anomalus,CORYANOM,
AG,4,2.67,2.18,0.205,,38.3,5/13/18,18983,Coryogalops,anomalus,CORYANOM,
AG,5,7.21,5.34,1.976,,37.8,5/13/18,18984,Ecsenius,pulcher,ECSEPULC,
AG,6,2.2,1.87,0.109,,37,5/13/18,18985,Enneapterygius,ventermaculus,ENNEVENT,
AG,8,2.7,2.2,0.226,,38.5,5/13/18,18987,Coryogalops,anomalus,CORYANOM,
AG,9,7.33,5.31,2.299,,37.8,5/13/18,18988,Ecsenius,pulcher,ECSEPULC,
AG,10,6.07,5.18,1.953,,37.9,5/13/18,18989,Ecsenius,pulcher,ECSEPULC,
AG,11,5.82,4.74,1.709,,38.2,5/13/18,18990,Ecsenius,pulcher,ECSEPULC,
GoO,1,2.43,1.96,0.117,12.6,,5/9/18,18869,Eviota,guttata,EVIOGUTT,
GoO,2,2.32,1.94,0.123,12.1,,5/9/18,18870,Eviota,guttata,EVIOGUTT,
GoO,3,4.58,3.57,0.681,11,,5/9/18,18871,Ecsenius,pulcher,ECSEPULC,F
GoO,4,4.34,3.55,0.682,11.2,,5/9/18,18872,Ecsenius,pulcher,ECSEPULC,F
GoO,5,5.62,4.23,0.977,11.2,,5/9/18,18873,Ecsenius,pulcher,ECSEPULC,F
GoO,6,4.59,3.85,0.918,11.1,,5/9/18,18874,Ecsenius,pulcher,ECSEPULC,F
GoO,7,3.19,2.7,0.352,13.2,,5/9/18,18875,Helcogramma,fuscopinna,HELCFUSC,F
GoO,8,3.31,2.85,0.391,12.9,,5/9/18,18876,Helcogramma,fuscopinna,HELCFUSC,F
GoO,1,4.39,3.57,0.665,,37.3,5/9/18,18877,Ecsenius,pulcher,ECSEPULC,M
GoO,2,3.82,3.3,0.421,,37.3,5/9/18,18878,Ecsenius,pulcher,ECSEPULC,F
GoO,3,4.11,3.46,0.557,,36.8,5/9/18,18879,Ecsenius,pulcher,ECSEPULC,M
GoO,4,4.55,3.64,0.694,,37.5,5/9/18,18880,Ecsenius,pulcher,ECSEPULC,F
GoO,5,2.97,2.57,0.266,,35.9,5/9/18,18881,Helcogramma,fuscopinna,HELCFUSC,F
GoO,6,2.67,2.39,0.215,,36.4,5/9/18,18882,Helcogramma,fuscopinna,HELCFUSC,F
GoO,7,2.76,2.45,0.257,,36.2,5/9/18,18883,Helcogramma,fuscopinna,HELCFUSC,F
GoO,8,2.82,2.58,0.292,,36.1,5/9/18,18884,Helcogramma,fuscopinna,HELCFUSC,F
GoO,1,2.86,2.44,0.216,,35.7,5/9/18,18885,Helcogramma,fuscopinna,HELCFUSC,F
GoO,2,2.47,2.1,0.162,,35.8,5/9/18,18886,Helcogramma,fuscopinna,HELCFUSC,F
GoO,3,4.46,3.87,0.088,,37.5,5/9/18,18887,Ecsenius,pulcher,ECSEPULC,F
GoO,4,4.56,3.84,0.805,,37,5/9/18,18888,Ecsenius,pulcher,ECSEPULC,F
GoO,5,2.07,1.73,0.089,,36.9,5/9/18,18889,Eviota,guttata,EVIOGUTT,
GoO,6,2.58,2.15,0.173,,37.1,5/9/18,18890,Eviota,guttata,EVIOGUTT,
GoO,7,2.54,2.07,0.186,,38,5/9/18,18891,Hetereleotris,vulgaris,HETEVULG,
GoO,8,2.36,2.1,0.156,,37.2,5/9/18,18892,Eviota,guttata,EVIOGUTT,
GoO,1,2.45,2.06,0.13,12.6,,5/10/18,18893,Eviota,guttata,EVIOGUTT,
GoO,2,2.66,2.28,0.194,13.4,,5/10/18,18894,Helcogramma,fuscopinna,HELCFUSC,F
GoO,3,2.49,2.14,0.165,13.6,,5/10/18,18895,Eviota,guttata,EVIOGUTT,
